tick,house_total,seeker_total
2,102,200
3,196,200
4,287,200
5,305,200
6,412,200
7,516,200
8,581,200
9,676,200
10,718,200
11,777,200
12,867,200
13,944,200
14,1022,200
15,1096,200
16,1183,200
17,1274,200
18,1348,200
19,1403,200
20,1485,200
21,1548,200
22,1646,200
23,1727,200
24,1809,200
25,1908,200
26,1966,200
27,2052,200
28,2135,200
29,2215,200
30,2285,200
31,2353,200
32,2432,200
33,2510,200
34,2574,200
35,2657,200
36,2731,200
37,2819,200
38,2880,200
39,2959,200
40,3024,200
41,3108,200
42,3203,200
43,3288,200
44,3362,200
45,3431,200
46,3516,200
47,3575,200
48,3651,200
49,3735,200
50,3824,200
51,3918,200
52,3967,200
53,4039,200
54,4128,200
55,4200,200
56,4272,200
57,4314,200
58,4370,200
59,4449,200
60,4532,200
61,4621,200
62,4696,200
63,4761,200
64,4834,200
65,4906,200
66,4955,200
67,5050,200
68,5132,200
69,5206,200
70,5276,200
71,5339,200
72,5418,200
73,5498,200
74,5555,200
75,5638,200
76,5705,200
77,5771,200
78,5829,200
79,5905,200
80,5990,200
81,6062,200
82,6141,200
83,6214,200
84,6301,200
85,6363,200
86,6446,200
87,6526,200
88,6597,200
89,6663,200
90,6731,200
91,6794,200
92,6881,200
93,6939,200
94,7014,200
95,7097,200
96,7186,200
97,7245,200
98,7320,200
99,7393,200
100,7467,200
101,7530,200
102,7591,200
103,7681,200
104,7756,200
105,7836,200
106,7898,200
107,7982,200
108,8050,200
109,8109,200
110,8184,200
111,8257,200
112,8324,200
113,8396,200
114,8472,200
115,8557,200
116,8605,200
117,8683,200
118,8758,200
119,8823,200
120,8881,200
121,8935,200
122,9014,200
123,9087,200
124,9148,200
125,9215,200
126,9292,200
127,9380,200
128,9449,200
129,9520,200
130,9599,200
131,9666,200
132,9719,200
133,9789,200
134,9857,200
135,9926,200
136,9991,200
137,10071,200
138,10144,200
139,10202,200
140,10280,200
141,10346,200
142,10409,200
143,10474,200
144,10532,200
145,10609,200
146,10689,200
147,10747,200
148,10826,200
149,10893,200
150,10977,200
151,11043,200
152,11111,200
153,11180,200
154,11256,200
155,11332,200
156,11403,200
157,11474,200
158,11552,200
159,11616,200
160,11681,200
161,11758,200
162,11825,200
163,11885,200
164,11966,200
165,12024,200
166,12108,200
167,12185,200
168,12259,200
169,12322,200
170,12393,200
171,12459,200
172,12525,200
173,12586,200
174,12651,200
175,12721,200
176,12795,200
177,12871,200
178,12920,200
179,12993,200
180,13059,200
181,13121,200
182,13193,200
183,13272,200
184,13335,200
185,13390,200
186,13461,200
187,13530,200
188,13593,200
189,13644,200
190,13711,200
191,13782,200
192,13856,200
193,13919,200
194,13984,200
195,14063,200
196,14125,200
197,14189,200
